hsa:3604  K05146
hsa:2475  K07203
hsa:23499  K19827
hsa:359948  K22383
hsa:246243  K03469
hsa:388  K07856
hsa:6509  K05615
hsa:8942  K01556
hsa:23671  K23608
hsa:25978  K12192
hsa:90102  K23794
hsa:201562  K10703
hsa:7220  K04964
hsa:51726  K09517
hsa:3556  K04723
hsa:2044  K05106
hsa:2920  K05505
hsa:7222  K04966
hsa:2247  K18497
hsa:6507  K05614
hsa:3672  K06480
hsa:2149  K03914
hsa:7265  K24926
hsa:1843  K21278
hsa:6745  K13249
hsa:1832  K10381
hsa:54676  K24888
hsa:56479  K04930
hsa:5575  K04739
hsa:3569  K05405
hsa:644  K00214
hsa:3486  K10138
hsa:6129  K02937
hsa:79581  K22117
hsa:60560  K20823
hsa:2619  K06232
hsa:1903  K04290
hsa:7046  K04674
hsa:56288  K04237
hsa:84896  K22530
hsa:6050  K16634
hsa:7225  K04969
hsa:330  K16060
hsa:5139  K19021
hsa:83729  K22689
hsa:1649  K04452
hsa:1848  K21946
hsa:490  K05850
hsa:160428  K00289
hsa:2321  K05096
hsa:6541  K13863
hsa:440145  K18633
hsa:688  K09206
hsa:115207  K21918
hsa:79711  K20221
hsa:2353  K04379
hsa:79895  K01530
hsa:51495  K10703
hsa:594855  K15295
hsa:5685  K02728
hsa:7023  K09108
hsa:84662  K09233
hsa:1327  K02263
hsa:23136  K23961
hsa:2627  K17897
hsa:94025  K16145
hsa:9294  K04292
hsa:79156  K23858
hsa:83987  K17561
hsa:728  K04010
hsa:2523  K00718
hsa:55311  K09230
hsa:27243  K12191
hsa:57761  K19518
hsa:650  K21283
hsa:11122  K13297
hsa:3755  K04900
hsa:80331  K09525
hsa:80781  K06823
